	fuel_cooking	fuel_cooking_Electricity_Gas	fuel_cooking_Paraffin_Stove	fuel_cooking_Open_fires_inside	fuel_cooking_Open_fires_outside	fuel_heating	fuel_heating_Electricity	fuel_heating_Gas	fuel_cooking_heating_Paraffin	fuel_heating_Wood_Coal	fuel_heating_Other
0	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
1	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
2	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
3	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
4	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
5	1	1.0	0.0	0.0	0.0	2	0.0	1.0	0.0	0.0	0.0
6	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
7	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
8	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
11	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
12	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
13	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
14	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
15	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
16	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
17	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
18	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
19	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
20	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
21	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
22	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
23	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
24	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
25	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
26	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
