	variable	value_counts	unique_values	nan_counts	nan_percentage
0	PID	{'CA-001-LS': 1, 'CO-035-SM': 1, 'CO-024-KM': 1, 'CO-025-TM': 1, 'CO-026-LT': 1, 'CO-027-IF': 1, 'CO-028-UV': 1, 'CO-029-YL': 1, 'CO-030-AL': 1, 'CO-031-LM': 1, 'CO-032-AR': 1, 'CO-033-LN': 1, 'CO-034-AS': 1, 'CO-036-UM': 1, 'CA-154-OS': 1, 'CO-037-LM': 1, 'CO-038-AG': 1, 'CO-039-KG': 1, 'CO-040-ST': 1, 'CO-041-LC': 1, 'CO-042-LN': 1, 'CO-043-ZS': 1, 'CO-044-KM': 1, 'CO-045-AM': 1, 'CO-046-KL': 1, 'CO-047-LV': 1, 'CO-023-AN': 1, 'CO-022-EN': 1, 'CO-021/LM': 1, 'CO-020/LM': 1, 'CA-156-MV': 1, 'CA-158-LC': 1, 'CA-159-AS': 1, 'CA-160-LB': 1, 'CA-161-OM': 1, 'CO-001-SM': 1, 'CO-002-MP': 1, 'CO-003-LT': 1, 'CO-004-LN': 1, 'CO-005-SN': 1, 'CO-006-LM': 1, 'CO-007-IS': 1, 'CO-008-AF': 1, 'CO-009-ZN': 1, 'CO-010-OB': 1, 'CO-011-SF': 1, 'CO-012-ON': 1, 'CO-013-AY': 1, 'CO-014-TN': 1, 'CO-015-OJ': 1, 'CO-016-CB': 1, 'CO-018/HP': 1, 'CO-019/KW': 1, 'CO-048-IB': 1, 'CO-049-LJ': 1, 'CO-050-AH': 1, 'CO-128-IV': 1, 'CO-130-MM': 1, 'CO-131-AM': 1, 'CO-132-IM': 1, 'CO-133-KT': 1, 'CO-134-KK': 1, 'CO-135-LT': 1, 'CO-136-SM': 1, 'CO-137-AM': 1, 'CO-138-AT': 1, 'CO-139-MP': 1, 'CO-140-IM': 1, 'CO-141-IG': 1, 'CO-142-LP': 1, 'CO-143-AN': 1, 'CO-144-LM': 1, 'CO-145-HN': 1, 'CO-146-LK': 1, 'CO-147-SV': 1, 'CO-148-IM': 1, 'CO-149-LM': 1, 'CO-150-LN': 1, 'CO-151-AN': 1, 'CO-152-AF': 1, 'CO-129-IS': 1, 'CO-127-MB': 1, 'CO-101-AN': 1, 'CO-126-ID': 1, 'CO-102-LP': 1, 'CO-103-MM': 1, 'CO-104-IV': 1, 'CO-105-IV': 1, 'CO-106-AB': 1, 'CO-108-OG': 1, 'CO-109-AG': 1, 'CO-110-SW': 1, 'CO-111-AM': 1, 'CO-112-SN': 1, 'CO-113-MM': 1, 'CO-114-IG': 1, 'CO-115-SG': 1, 'CO-116-MR': 1, 'CO-117-AG': 1, 'CO-118-MG': 1, 'CO-119-MG': 1, 'CO-120-MM': 1, 'CO-121-MM': 1, 'CO-122-IS': 1, 'CO-123-LZ': 1, 'CO-124-UM': 1, 'CO-125-MM': 1, 'CA-155-LS': 1, 'CA-153-MN': 1, 'CA-002-YF': 1, 'CA-041-AS': 1, 'CA-030-LM': 1, 'CA-031-AN': 1, 'CA-032-LN': 1, 'CA-033-UD': 1, 'CA-034-LS': 1, 'CA-035-AR': 1, 'CA-036-TK': 1, 'CA-037-HM': 1, 'CA-038-LM': 1, 'CA-039-EM': 1, 'CA-040-ZK': 1, 'CA-042-AM': 1, 'CA-152-HN': 1, 'CA-043-SS': 1, 'CA-044-LM': 1, 'CA-045-HN': 1, 'CA-046-MT': 1, 'CA-047-MD': 1, 'CA-048-LN': 1, 'CA-049-MM': 1, 'CA-050-LN': 1, 'CA-051-AM': 1, 'CA-052-LM': 1, 'CA-053-NN': 1, 'CA-029-TD': 1, 'CA-028-PN': 1, 'CA-027-IM': 1, 'CA-026-KM': 1, 'CA-003-US': 1, 'CA-004-NK': 1, 'CA-005-BD': 1, 'CA-006-ON': 1, 'CA-007-NK': 1, 'CA-008-HN': 1, 'CA-009-ST': 1, 'CA-010-EB': 1, 'CA-011-LQ': 1, 'CA-012-LM': 1, 'CA-013-NN': 1, 'CA-014-LB': 1, 'CA-015-AM': 1, 'CA-016-YT': 1, 'CA-017-OM': 1, 'CA-018-AS': 1, 'CA-019-EC': 1, 'CA-020-AZ': 1, 'CA-021-IM': 1, 'CA-022-MS': 1, 'CA-023-EJ': 1, 'CA-024-ZM': 1, 'CA-025-AC': 1, 'CA-054-RN': 1, 'CA-055-LN': 1, 'CA-056-DH': 1, 'CA-127-OM': 1, 'CA-129-AJ': 1, 'CA-130-SN': 1, 'CA-131-PM': 1, 'CA-132-LD': 1, 'CA-133-LT': 1, 'CA-134-IT': 1, 'CA-135-NS': 1, 'CA-136-OM': 1, 'CA-137-TM': 1, 'CA-138-SM': 1, 'CA-139-OS': 1, 'CA-140-EM': 1, 'CA-141-TC': 1, 'CA-142-AM': 1, 'CA-143-ST': 1, 'CA-144-HN': 1, 'CA-145-LM': 1, 'CA-146-SM': 1, 'CA-147-LJ': 1, 'CA-148-AL': 1, 'CA-149-LM': 1, 'CA-150-ZS': 1, 'CA-151-QR': 1, 'CA-128-SN': 1, 'CA-126-KB': 1, 'CA-101-ID': 1, 'CA-125-IM': 1, 'CA-102-IR': 1, 'CA-103-BT': 1, 'CA-104-SB': 1, 'CA-105-LX': 1, 'CA-106-NM': 1, 'CA-107-BM': 1, 'CA-108-EJ': 1, 'CA-109-BJ': 1, 'CA-110-LN': 1, 'CA-111-IN': 1, 'CA-112-AM': 1, 'CA-113-MN': 1, 'CA-114-QT': 1, 'CA-115-OM': 1, 'CA-116-AN': 1, 'CA-117-SM': 1, 'CA-118-AS': 1, 'CA-119-AM': 1, 'CA-120-ST': 1, 'CA-121-BT': 1, 'CA-122-UK': 1, 'CA-123-PG': 1, 'CA-124-AB': 1, 'CO-153-YM': 1}	217	0	0.0
1	diagnosis	{'AD': 116, 'HC': 101}	2	0	0.0
2	location	{'Rural': 112, 'Urban': 105}	2	0	0.0
3	enrolement_age	{17.0: 14, 14.0: 13, 12.0: 12, 19.0: 11, 23.0: 10, 21.0: 10, 20.0: 10, 13.0: 10, 35.0: 9, 25.0: 9, 18.0: 9, 28.0: 8, 24.0: 8, 15.0: 8, 22.0: 8, 16.0: 7, 26.0: 7, 31.0: 7, 32.0: 7, 27.0: 7, 34.0: 7, 29.0: 6, 30.0: 6, 33.0: 5, 36.0: 4, 37.0: 1, 38.0: 1, 11.0: 1, 9.0: 1, 10.0: 1}	30	0	0.0
4	gender	{1.0: 120, 2.0: 96}	3	1	0.4608294930875576
5	vaccination_status	{1.0: 201, 2.0: 14}	3	2	0.9216589861751152
6	paracetamol_exposure	{1.0: 204, 0.0: 11}	3	2	0.9216589861751152
7	paracetamol_exposure_age	{3.0: 43, 6.0: 33, 4.0: 30, 7.0: 18, 5.0: 16, 2.0: 16, 8.0: 15, 1.0: 10, 9.0: 10, 10.0: 3, 1.5: 3, 12.0: 3, 11.0: 1}	14	16	7.373271889400922
8	paracetamol_exposure_time	{1.0: 141, 2.0: 47, 3.0: 15, 0.0: 11}	5	3	1.3824884792626728
9	childhood_inf_mumps	{0.0: 213, 1.0: 2}	3	2	0.9216589861751152
10	childhood_inf_chickenpox	{0.0: 204, 1.0: 11}	3	2	0.9216589861751152
11	childhood_inf_giandular_fever	{0.0: 213, 1.0: 2}	3	2	0.9216589861751152
12	childhood_inf_tuberculosis	{0.0: 210, 1.0: 5}	3	2	0.9216589861751152
13	childhood_inf_other	{0.0: 200, 1.0: 3}	3	14	6.451612903225806
14	antibiotic_exposure	{'1': 162, '0': 52}	3	3	1.3824884792626728
15	antibiotic_exposure_age	{6.0: 32, 8.0: 18, 3.0: 18, 4.0: 16, 5.0: 14, 9.0: 14, 1.0: 12, 7.0: 11, 2.0: 8, 12.0: 7, 10.0: 5, 11.0: 2, 0.0: 2, 1.5: 1}	15	57	26.267281105990783
16	antibiotic_exposure_courses	{2.0: 108, 1.0: 49, 3.0: 45, 4.0: 6}	5	9	4.147465437788019
17	antibiotic_exposure_last2months	{0.0: 138, 1.0: 75}	3	4	1.8433179723502304
18	anti_helminthic_exposure	{'1': 183, '0': 29}	3	5	2.304147465437788
19	anti_helminthic_exposure_age	{'12': 163, '18': 9, '15': 2, '14': 2, '24': 2, '19': 1, '21': 1, '6': 1, '13': 1}	10	35	16.129032258064516
20	anti_helminthic_exposure_last	{'12': 71, '18': 51, '24': 40, '30': 11, '34': 2, '23': 1, '16': 1, '33': 1, '21': 1, '20': 1, '27': 1, '13': 1, '36': 1}	14	34	15.668202764976959
21	anti_helminthic_exposure_yearly	{'1': 151, '0': 61}	3	5	2.304147465437788
22	delivery_mode	{1.0: 145, 2.0: 70}	3	2	0.9216589861751152
23	sunlight_exp_winter	{'1': 33, '4': 20, '3': 20, '2': 18, '0.5': 17, '0': 14, '5': 10, '0.4': 9, '8': 7, '0.3': 7, '6': 6, '9': 5, '1.4': 4, '2.1': 4, '0.7': 4, '7': 3, '0.9': 3, '0.1': 3, '2.9': 2, '1.9': 2, '0.6': 2, '3.4': 1, '2.6': 1, '1.6': 1, '0.64': 1, '3.2': 1, '0.2': 1, '0.14': 1, '0.75': 1, '0.15': 1, '1.1': 1, '10': 1, '11': 1, '0.78': 1, '0.42': 1, '0.85': 1, '1.7': 1, '0.35': 1}	39	7	3.225806451612903
24	sunlight_exp_summer	{'3': 20, '5': 19, '8': 17, '6': 13, '1': 13, '2': 11, '0': 8, '10': 7, '2.1': 6, '7': 6, '0.5': 6, '1.9': 5, '11': 4, '9': 4, '3.3': 4, '1.6': 4, '2.3': 4, '4': 3, '3.9': 3, '1.1': 3, '12': 3, '4.4': 2, '0.9': 2, '1.5': 2, '0.6': 2, '2.4': 2, '0.85': 2, '3.57': 2, '0.7': 2, '1.7': 2, '1.4': 2, '0.8': 2, '0.35': 1, '1.2': 1, '3.8': 1, '3.7': 1, '2.6': 1, '2.2': 1, '0.1': 1, '1.3': 1, '3.4': 1, '1.28': 1, '2.5': 1, '4.3': 1, '3.2': 1, '0.78': 1, '0.15': 1, '0.64': 1, '1.57': 1, '0.4': 1, '0.3': 1, '0.92': 1, '3.1': 1, '5.14': 1, '2.7': 1, '3.5': 1, '5.9': 1, '2.9': 1, '4.6': 1}	60	5	2.304147465437788
25	peanuts_mother_exposure_regularity	{'1': 128, '0': 82, 'no': 1}	4	6	2.7649769585253456
26	peanuts_mother_exposure_avoidance	{'0': 181, '1': 28, 'no': 1}	4	7	3.225806451612903
27	breastfeeding_ever	{'1': 178, '0': 38}	3	1	0.4608294930875576
28	breastfeeding_uptoage_age_complete	{'6': 51, '0': 45, '2': 28, '3': 21, '4': 21, '1': 15, '0.5': 8, '5': 7, '0.25': 6, '0.75': 3, '8': 2, '10': 1, '0.15': 1, '0.3': 1, '0.33': 1, '1.5': 1, '9': 1, '7': 1}	19	3	1.3824884792626728
29	breastfeeding_uptoage_age_stop	{'0': 37, '6': 23, '12': 18, '2': 16, '3': 12, '1': 11, '4': 11, '5': 7, '0.5': 7, '18': 7, '24': 6, '11': 6, '14': 5, '8': 5, '13': 4, '0.25': 4, '20': 3, '9': 3, '7': 3, '17': 3, '21': 3, '23': 2, '26': 2, '10': 2, '16': 2, '32': 1, '1.5': 1, '29': 1, '25': 1, '0.33': 1, '15': 1, '0.15': 1, '0.75': 1, '27': 1, '0.3': 1, '28': 1, '22': 1}	38	3	1.3824884792626728
30	formula_age_introduction	{'0': 57, '6': 48, '2': 26, '3': 20, '4': 20, '1': 15, '5': 6, '7': 4, '8': 4, '0.75': 3, '0.5': 3, '11': 2, '0.25': 2, '10': 1, '0.15': 1, '9': 1, '19': 1}	18	3	1.3824884792626728
31	solidfood_age_introduction	{'6': 82, '4': 35, '3': 29, '5': 25, '7': 17, '1': 8, '8': 6, '2': 6, '9': 4, '11': 2, '20': 1, '12': 1}	13	1	0.4608294930875576
32	solidfood_which_first	{}	1	217	100.0
33	peanuts_exposure	{1.0: 131, 0.0: 84}	3	2	0.9216589861751152
34	peanuts_exposure_age_first	{'12': 35, '24': 21, '18': 11, '9': 8, '8': 8, '7': 8, '6': 7, '14': 4, '10': 4, '13': 3, '22': 3, '17': 2, '11': 2, '5': 2, '19': 2, '15': 2, '29': 1, '36': 1, '20': 1, '23': 1, '16': 1, '4': 1, '33': 1, '30': 1}	25	87	40.09216589861751
35	peanuts_exposure_regularity	{1.0: 105, 0.0: 27}	3	85	39.1705069124424
36	othernuts_exposure	{0.0: 165, 1.0: 50}	3	2	0.9216589861751152
37	othernuts_exposure_age_first	{12.0: 16, 24.0: 8, 18.0: 5, 6.0: 3, 9.0: 3, 10.0: 2, 8.0: 2, 19.0: 2, 14.0: 2, 30.0: 1, 23.0: 1, 17.0: 1, 22.0: 1, 7.0: 1, 16.0: 1, 11.0: 1}	17	167	76.95852534562212
38	othernuts_exposure_regularity	{1.0: 44, 0.0: 6}	3	167	76.95852534562212
39	dairyproducts_exposure	{1.0: 213, 0.0: 2}	3	2	0.9216589861751152
40	dairyproducts_exposure_age_first	{6.0: 63, 12.0: 28, 7.0: 21, 8.0: 21, 9.0: 20, 4.0: 16, 10.0: 9, 5.0: 9, 3.0: 9, 11.0: 5, 13.0: 3, 24.0: 3, 18.0: 3, 1.0: 2, 29.0: 1}	16	4	1.8433179723502304
41	dairyproducts_exposure_regularity	{1.0: 209, 0.0: 4}	3	4	1.8433179723502304
42	cowmilkformula_exposure	{1.0: 205, 0.0: 10}	3	2	0.9216589861751152
